question,category,options,answer,explanation
GNSSの「DOP値」について、正しい説明はどれか。,システム,a.値が小さいほど精度が高い|b.値が大きいほど精度が高い|c.値は常に一定,a,衛星の配置が良いと数値が小さくなり、精度が上がります。
ヘリコプターの「テールローター」が故障した場合、機体はどうなるか。,システム,a.上昇できなくなる|b.メインローターと逆方向に激しく回転する|c.加速が止まる,b,反トルクを打ち消せなくなり、機体が回転し始めます。
リチウムポリマーバッテリーが「10C」で充電可能とは、2000mAhなら何Aで充電できるか。,システム,a.2A|b.20A|c.200A,b,2A(1C)の10倍なので20Aです。
機体が帯電（静電気）した場合に起こる悪影響はどれか。,システム,a.センサの誤作動や基板の故障|b.GPS受信感度の向上|c.モーターの回転数アップ,a,静電気放電（ESD）は精密機器の大敵です。
プロペラに「着氷」した場合の直接的な影響はどれか。,リスク,a.揚力の減少と重量の増加|b.消費電流の減少|c.電波感度の低下,a,翼の形状が変わり、揚力が著しく低下して墜落を招きます。
「フェールセーフ」において、RTH以外に設定可能な動作はどれか。,システム,a.ホバリングまたは着陸|b.急上昇|c.電源オフ,a,状況（戻る場所がない等）に応じて着陸などを選択します。
バッテリーの充電率「SOC」とは何の略か。,システム,a.State of Charge|b.System on Chip|c.Safety of Cell,a,充電状態（残量）をパーセントで表したものです。
通信が途絶えた際、機体が直前の指示を数秒維持することを何と呼ぶか。,システム,a.ホールド|b.ロスト|c.フェイルセーフ,a,瞬断対策として数秒間だけ姿勢を保つ設定がある機体も多いです。
送信機のアンテナを「機体に向けた（指した）」場合に起こること。,システム,a.電波が最強になる|b.電波が最弱になる|c.影響はない,b,先端方向は電波が飛ばない「死角」です。
飛行機において「スポイラー」を使用する主な目的はどれか。,システム,a.揚力を減らし降下を助ける|b.加速する|c.機首を上げる,a,気流を乱して揚力を「殺す（スポイル）」装置です。
ヘリコプターが「フラッピング」を行う理由として正しいのはどれか。,システム,a.左右のブレードの揚力バランスをとる|b.見た目を良くする|c.風を切る音を小さくする,a,前進時の相対速度の差による揚力差を解消するための動きです。
「デッドレコニング（推測航法）」で位置を割り出すために必要な情報はどれか。,運航,a.前回の位置、進路、速度、経過時間|b.衛星の数|c.ネット回線,a,外部信号を使わず、自らの動きから位置を推計します。
「特定飛行」において、機体重量が「25kg以上」の場合の文字表示サイズは。,規則,a.3mm|b.10mm|c.25mm,c,大型機は遠くから見えるよう25mm以上の表示が必要です。
飛行日誌の「点検整備記録」に記載すべきでないものはどれか。,運航,a.部品交換の内容|b.修理の日時|c.その日の操縦者の体調,c,体調は出発前点検の範囲です。整備記録は機体のメンテ履歴を書きます。
「SHELLモデル」において、マニュアルや手順書が該当する要素はどれか。,運航,a.Software|b.Hardware|c.Environment,a,Softwareはプログラムだけでなく、規則や手順も含まれます。
プロペラに傷を見つけた。やすりで削ってバランスをとれば使用可能か。,運航,a.不可能。直ちに交換する|b.可能。バランスが取れれば良い|c.緊急時のみ可能,a,回転体であるプロペラの補修は強度が保てないため禁止です。
「物件投下」において、補助者を配置しない場合の高度上限はどれか。,規則,a.1m以内|b.10m以内|c.制限なし,a,極めて低高度（1m）でないと、補助者なしの投下は認められません。
リチウムポリマーバッテリーを塩水に浸けるのはなぜか。,運航,a.中身を洗うため|b.完全に放電させて安全に捨てるため|c.急速充電のため,b,電気的に完全に空にするための処理です。
「ベルヌーイの定理」に基づき、翼の上面の気流が速いと、圧力はどうなるか。,物理,a.低くなる|b.高くなる|c.変わらない,a,流速が上がると圧力が下がり、これが揚力の源になります。
